# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "ID" "-a" "reference/GWH_reference/annotation.gff" "-o" "counts/C0H_R1_counts.txt" "alignments/C0H_R1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C0H_R1.sorted.bam
GUL01G000105	GWHHCNU00000001.1	1373596	1373874	+	279	0
GUL01G000106	GWHHCNU00000001.1	1385804	1388709	-	2906	0
GUL01G000107	GWHHCNU00000001.1	1387287	1387646	-	360	0
GUL01G000108	GWHHCNU00000001.1	1387722	1388284	-	563	0
GUL01G000109	GWHHCNU00000001.1	1416269	1419367	+	3099	2
GUL01G000110	GWHHCNU00000001.1	1427683	1431081	+	3399	0
GUL01G000111	GWHHCNU00000001.1	1431802	1435994	-	4193	0
GUL01G000112	GWHHCNU00000001.1	1452963	1456037	+	3075	0
GUL01G000113	GWHHCNU00000001.1	1457556	1459955	-	2400	0
GUL01G000114	GWHHCNU00000001.1	1467799	1469717	+	1919	48
GUL01G000115	GWHHCNU00000001.1	1470235	1471146	-	912	0
GUL01G000116	GWHHCNU00000001.1	1473499	1474005	+	507	0
GUL01G000117	GWHHCNU00000001.1	1474035	1475570	+	1536	0
GUL01G000118	GWHHCNU00000001.1	1475793	1476065	+	273	0
GUL01G000119	GWHHCNU00000001.1	1476348	1476908	+	561	39
GUL01G000120	GWHHCNU00000001.1	1478777	1479196	+	420	77
GUL01G000121	GWHHCNU00000001.1	1485187	1486376	+	1190	0
GUL01G000122	GWHHCNU00000001.1	1501162	1501755	+	594	0
GUL01G000123	GWHHCNU00000001.1	1530551	1532052	+	1502	6
GUL01G000124	GWHHCNU00000001.1	1549571	1549774	+	204	0
GUL01G000125	GWHHCNU00000001.1	1560409	1561500	+	1092	0
GUL01G000126	GWHHCNU00000001.1	1582960	1585517	+	2558	2026
GUL01G000127	GWHHCNU00000001.1	1586709	1587830	-	1122	0
GUL01G000128	GWHHCNU00000001.1	1595573	1596942	+	1370	5
GUL01G000129	GWHHCNU00000001.1	1721668	1723527	-	1860	0
GUL01G000130	GWHHCNU00000001.1	1738593	1739963	+	1371	0
GUL01G000131	GWHHCNU00000001.1	1745678	1745914	-	237	0
GUL01G000132	GWHHCNU00000001.1	1768598	1771322	+	2725	33
GUL01G000133	GWHHCNU00000001.1	1772428	1774608	-	2181	66
GUL01G000134	GWHHCNU00000001.1	1779853	1782502	-	2650	6
GUL01G000135	GWHHCNU00000001.1	1785543	1788530	+	2988	0
GUL01G000136	GWHHCNU00000001.1	1798707	1799600	-	894	0
GUL01G000137	GWHHCNU00000001.1	1799646	1801423	-	1778	0
GUL01G000138	GWHHCNU00000001.1	1811750	1812282	-	533	0
GUL01G000139	GWHHCNU00000001.1	1812382	1813331	-	950	0
GUL01G000140	GWHHCNU00000001.1	1829276	1833644	+	4369	0
GUL01G000141	GWHHCNU00000001.1	1838688	1839495	+	808	0
GUL01G000142	GWHHCNU00000001.1	1839524	1841815	+	2292	365
GUL01G000143	GWHHCNU00000001.1	1865384	1867277	+	1894	0
GUL01G000144	GWHHCNU00000001.1	1872143	1881567	+	9425	123
GUL01G000145	GWHHCNU00000001.1	1888564	1891512	+	2949	0
GUL01G000146	GWHHCNU00000001.1	1912261	1913409	+	1149	0
GUL01G000147	GWHHCNU00000001.1	1959705	1962392	-	2688	553
GUL01G000148	GWHHCNU00000001.1	1967295	1967578	-	284	59
GUL01G000149	GWHHCNU00000001.1	1967809	1969215	-	1407	203
GUL01G000150	GWHHCNU00000001.1	1970946	1971242	-	297	0
GUL01G000151	GWHHCNU00000001.1	1972972	1974372	+	1401	0
GUL01G000152	GWHHCNU00000001.1	1974627	1974986	-	360	0
GUL01G000153	GWHHCNU00000001.1	1977644	1977889	+	246	0
GUL01G000154	GWHHCNU00000001.1	1981364	1990990	-	9627	1327
GUL01G000155	GWHHCNU00000001.1	1991493	1992095	+	603	0
GUL01G000156	GWHHCNU00000001.1	2021767	2031488	-	9722	619
GUL01G000157	GWHHCNU00000001.1	2035431	2035721	+	291	0
GUL01G000158	GWHHCNU00000001.1	2042656	2042877	+	222	0
GUL01G000159	GWHHCNU00000001.1	2056969	2057247	-	279	23
GUL01G000160	GWHHCNU00000001.1	2063131	2063394	-	264	0
GUL01G000161	GWHHCNU00000001.1	2086030	2086612	-	583	0
GUL01G000162	GWHHCNU00000001.1	2096193	2106764	-	10572	233
GUL01G000163	GWHHCNU00000001.1	2124078	2124976	+	899	66
GUL01G000164	GWHHCNU00000001.1	2143677	2144394	+	718	0
GUL01G000165	GWHHCNU00000001.1	2189666	2190917	-	1252	0
GUL01G000166	GWHHCNU00000001.1	2190967	2192052	-	1086	4
GUL01G000167	GWHHCNU00000001.1	2204505	2204747	+	243	0
GUL01G000168	GWHHCNU00000001.1	2208353	2209234	+	882	0
GUL01G000169	GWHHCNU00000001.1	2212297	2212599	-	303	0
GUL01G000170	GWHHCNU00000001.1	2212939	2217694	+	4756	163
GUL01G000171	GWHHCNU00000001.1	2219529	2219777	+	249	0
GUL01G000172	GWHHCNU00000001.1	2234735	2234983	+	249	0
GUL01G000173	GWHHCNU00000001.1	2238739	2239521	+	783	0
GUL01G000174	GWHHCNU00000001.1	2240363	2240848	+	486	0
GUL01G000175	GWHHCNU00000001.1	2241077	2242144	+	1068	0
GUL01G000176	GWHHCNU00000001.1	2249366	2249584	-	219	34
GUL01G000177	GWHHCNU00000001.1	2261375	2262343	-	969	0
GUL01G000178	GWHHCNU00000001.1	2283753	2284271	-	519	0
GUL01G000179	GWHHCNU00000001.1	2308648	2308878	-	231	0
GUL01G000180	GWHHCNU00000001.1	2394790	2395755	-	966	0
GUL01G000181	GWHHCNU00000001.1	2421471	2422253	+	783	0
GUL01G000182	GWHHCNU00000001.1	2424042	2424511	+	470	0
GUL01G000183	GWHHCNU00000001.1	2448479	2448784	+	306	0
GUL01G000184	GWHHCNU00000001.1	2476210	2476596	-	387	6
GUL01G000185	GWHHCNU00000001.1	2528051	2534550	-	6500	0
GUL01G000186	GWHHCNU00000001.1	2540238	2540777	-	540	0
GUL01G000187	GWHHCNU00000001.1	2555358	2571044	-	15687	857
GUL01G000188	GWHHCNU00000001.1	2577079	2582344	-	5266	325
GUL01G000189	GWHHCNU00000001.1	2588664	2591080	+	2417	19
GUL01G000190	GWHHCNU00000001.1	2598879	2601856	+	2978	0
GUL01G000191	GWHHCNU00000001.1	2641141	2641987	+	847	0
GUL01G000192	GWHHCNU00000001.1	2856534	2861181	+	4648	0
GUL01G000193	GWHHCNU00000001.1	2941441	2942482	-	1042	0
GUL01G000194	GWHHCNU00000001.1	2993709	2997239	-	3531	0
GUL01G000195	GWHHCNU00000001.1	3045496	3046326	+	831	0
GUL01G000196	GWHHCNU00000001.1	3115166	3115378	-	213	0
GUL01G000197	GWHHCNU00000001.1	3142108	3143381	+	1274	0
GUL01G000198	GWHHCNU00000001.1	3143503	3144042	+	540	0
GUL01G000199	GWHHCNU00000001.1	3173999	3180833	+	6835	5052
GUL01G000200	GWHHCNU00000001.1	3192590	3195459	+	2870	250
GUL01G000201	GWHHCNU00000001.1	3223418	3223642	-	225	0
GUL01G000202	GWHHCNU00000001.1	3225761	3226429	-	669	0
GUL01G000203	GWHHCNU00000001.1	3229513	3231139	-	1627	0
GUL01G000204	GWHHCNU00000001.1	3248289	3248891	+	603	0
GUL01G000205	GWHHCNU00000001.1	3249925	3253425	+	3501	0
GUL01G000206	GWHHCNU00000001.1	3299316	3299630	+	315	0
GUL01G000207	GWHHCNU00000001.1	3302708	3310752	+	8045	1358
GUL01G000208	GWHHCNU00000001.1	3314761	3317904	+	3144	0
GUL01G000209	GWHHCNU00000001.1	3319744	3323269	-	3526	0
GUL01G000210	GWHHCNU00000001.1	3323993	3324283	+	291	0
GUL01G000211	GWHHCNU00000001.1	3389263	3390163	-	901	0
GUL01G000212	GWHHCNU00000001.1	3391104	3391677	-	574	0
GUL01G000213	GWHHCNU00000001.1	3394952	3395537	+	586	0
GUL01G000214	GWHHCNU00000001.1	3395617	3395892	+	276	0
GUL01G000215	GWHHCNU00000001.1	3401597	3402598	+	1002	0
GUL01G000216	GWHHCNU00000001.1	3451402	3457955	+	6554	0
GUL01G000217	GWHHCNU00000001.1	3506708	3508874	+	2167	0
GUL01G000218	GWHHCNU00000001.1	3522172	3523755	+	1584	148
GUL01G000219	GWHHCNU00000001.1	3527783	3529487	-	1705	0
GUL01G000220	GWHHCNU00000001.1	3530829	3534320	-	3492	275
GUL01G000221	GWHHCNU00000001.1	3544594	3544992	-	399	0
GUL01G000222	GWHHCNU00000001.1	3590707	3592047	+	1341	2164
GUL01G000223	GWHHCNU00000001.1	3599867	3600151	-	285	0
GUL01G000224	GWHHCNU00000001.1	3602793	3605760	-	2968	0
GUL01G000225	GWHHCNU00000001.1	3612162	3613874	+	1713	36
GUL01G000226	GWHHCNU00000001.1	3655058	3655288	-	231	0
GUL01G000227	GWHHCNU00000001.1	3691186	3691998	-	813	0
GUL01G000228	GWHHCNU00000001.1	3694357	3698444	+	4088	806
GUL01G000229	GWHHCNU00000001.1	3699289	3702566	-	3278	21
GUL01G000230	GWHHCNU00000001.1	3704682	3705095	+	414	0
GUL01G000231	GWHHCNU00000001.1	3708122	3708355	-	234	0
GUL01G000232	GWHHCNU00000001.1	3708399	3709100	-	702	0
GUL01G000233	GWHHCNU00000001.1	3718958	3719284	-	327	0
GUL01G000234	GWHHCNU00000001.1	3731815	3735235	+	3421	3146
GUL01G000235	GWHHCNU00000001.1	3784937	3785188	-	252	0
GUL01G000236	GWHHCNU00000001.1	3819375	3821125	-	1751	0
GUL01G000237	GWHHCNU00000001.1	3831484	3832101	-	618	0
GUL01G000238	GWHHCNU00000001.1	3846384	3846716	-	333	0
GUL01G000239	GWHHCNU00000001.1	3856046	3862860	-	6815	0
GUL01G000240	GWHHCNU00000001.1	3868322	3868591	-	270	0
GUL01G000241	GWHHCNU00000001.1	3868782	3869069	-	288	0
GUL01G000242	GWHHCNU00000001.1	3869456	3869962	-	507	0
GUL01G000243	GWHHCNU00000001.1	3873234	3875958	-	2725	0
GUL01G000244	GWHHCNU00000001.1	3879160	3880447	-	1288	0
GUL01G000245	GWHHCNU00000001.1	3880729	3884446	+	3718	3
GUL01G000246	GWHHCNU00000001.1	3884625	3886019	+	1395	40
GUL01G000247	GWHHCNU00000001.1	3902443	3903687	+	1245	0
GUL01G000248	GWHHCNU00000001.1	3908704	3909371	-	668	0
GUL01G000249	GWHHCNU00000001.1	3909575	3910615	-	1041	0
GUL01G000250	GWHHCNU00000001.1	3918160	3918414	-	255	0
GUL01G000251	GWHHCNU00000001.1	3925025	3925351	-	327	0
GUL01G000252	GWHHCNU00000001.1	3925413	3926775	-	1363	0
GUL01G000253	GWHHCNU00000001.1	4026226	4028267	+	2042	46
GUL01G000254	GWHHCNU00000001.1	4036723	4037151	+	429	0
GUL01G000255	GWHHCNU00000001.1	4076624	4098428	-	21805	340
GUL01G000256	GWHHCNU00000001.1	4158622	4158873	-	252	0
GUL01G000257	GWHHCNU00000001.1	4159954	4160424	-	471	0
GUL01G000258	GWHHCNU00000001.1	4160702	4162535	-	1834	0
GUL01G000259	GWHHCNU00000001.1	4193024	4194286	-	1263	178
GUL01G000260	GWHHCNU00000001.1	4215632	4216342	-	711	0
GUL01G000261	GWHHCNU00000001.1	4253671	4254933	-	1263	170
GUL01G000262	GWHHCNU00000001.1	4352595	4354057	-	1463	0
GUL01G000263	GWHHCNU00000001.1	4391893	4396614	-	4722	0
GUL01G000264	GWHHCNU00000001.1	4442381	4443447	+	1067	0
GUL01G000265	GWHHCNU00000001.1	4566029	4568519	-	2491	0
GUL01G000266	GWHHCNU00000001.1	4566946	4567392	-	447	0
GUL01G000267	GWHHCNU00000001.1	4693303	4695241	+	1939	4
GUL01G000268	GWHHCNU00000001.1	4695302	4695577	+	276	27
GUL01G000269	GWHHCNU00000001.1	4696002	4696867	+	866	77
GUL01G000270	GWHHCNU00000001.1	4709131	4713821	+	4691	5142
GUL01G000271	GWHHCNU00000001.1	4730985	4731314	-	330	0
GUL01G000272	GWHHCNU00000001.1	4738180	4738568	+	389	0
GUL01G000273	GWHHCNU00000001.1	4738792	4739055	-	264	0
GUL01G000274	GWHHCNU00000001.1	4756472	4757870	-	1399	11
GUL01G000275	GWHHCNU00000001.1	4846061	4846841	-	781	0
GUL01G000276	GWHHCNU00000001.1	4847160	4848724	-	1565	1
GUL01G000277	GWHHCNU00000001.1	4865571	4866456	+	886	0
GUL01G000278	GWHHCNU00000001.1	4866480	4868018	-	1539	0
GUL01G000279	GWHHCNU00000001.1	4887127	4888089	-	963	0
GUL01G000280	GWHHCNU00000001.1	4888277	4890245	-	1969	0
GUL01G000281	GWHHCNU00000001.1	4958340	4958690	-	351	0
GUL01G000282	GWHHCNU00000001.1	4992648	4992953	-	306	0
GUL01G000283	GWHHCNU00000001.1	4993713	4994749	+	1037	0
GUL01G000284	GWHHCNU00000001.1	4994844	4995590	-	747	0
GUL01G000285	GWHHCNU00000001.1	4995630	4996623	-	994	0
GUL01G000286	GWHHCNU00000001.1	4998023	4998289	-	267	0
GUL01G000287	GWHHCNU00000001.1	5000251	5004193	+	3943	0
GUL01G000288	GWHHCNU00000001.1	5004596	5006580	-	1985	1
GUL01G000289	GWHHCNU00000001.1	5007947	5009815	-	1869	0
GUL01G000290	GWHHCNU00000001.1	5010459	5010710	-	252	0
GUL01G000291	GWHHCNU00000001.1	5014945	5015691	+	747	0
GUL01G000292	GWHHCNU00000001.1	5016352	5016570	-	219	0
GUL01G000293	GWHHCNU00000001.1	5016627	5017091	+	465	0
GUL01G000294	GWHHCNU00000001.1	5017171	5018361	+	1191	1
GUL01G000295	GWHHCNU00000001.1	5018900	5019145	+	246	0
GUL01G000296	GWHHCNU00000001.1	5020491	5020826	+	336	0
GUL01G000297	GWHHCNU00000001.1	5021378	5022011	-	634	0
GUL01G000298	GWHHCNU00000001.1	5022235	5024213	+	1979	0
GUL01G000299	GWHHCNU00000001.1	5024980	5025210	-	231	0
GUL01G000300	GWHHCNU00000001.1	5026151	5026630	+	480	4
GUL01G000301	GWHHCNU00000001.1	5026803	5027757	-	955	0
GUL01G000302	GWHHCNU00000001.1	5027975	5028232	-	258	0
GUL01G000303	GWHHCNU00000001.1	5029831	5030631	+	801	0
GUL01G000304	GWHHCNU00000001.1	5032818	5033081	+	264	0
GUL01G000305	GWHHCNU00000001.1	5037806	5038093	-	288	0
GUL01G000306	GWHHCNU00000001.1	5040115	5040594	-	480	47
GUL01G000307	GWHHCNU00000001.1	5042190	5043121	-	932	0
GUL01G000308	GWHHCNU00000001.1	5043579	5043977	+	399	0
GUL01G000309	GWHHCNU00000001.1	5045774	5049488	-	3715	76
GUL01G000310	GWHHCNU00000001.1	5050579	5051949	+	1371	40
GUL01G000311	GWHHCNU00000001.1	5054797	5055081	+	285	0
GUL01G000312	GWHHCNU00000001.1	5057858	5058417	-	560	0
GUL01G000313	GWHHCNU00000001.1	5059617	5060228	+	612	39
GUL01G000314	GWHHCNU00000001.1	5061379	5062022	+	644	2
GUL01G000315	GWHHCNU00000001.1	5064109	5064726	-	618	42
GUL01G000316	GWHHCNU00000001.1	5066610	5067910	-	1301	17
GUL01G000317	GWHHCNU00000001.1	5068292	5068564	+	273	6
GUL01G000318	GWHHCNU00000001.1	5069554	5072682	-	3129	10
GUL01G000319	GWHHCNU00000001.1	5073566	5075118	+	1553	4
GUL01G000320	GWHHCNU00000001.1	5075594	5075893	+	300	19
GUL01G000321	GWHHCNU00000001.1	5076151	5076558	-	408	20
GUL01G000322	GWHHCNU00000001.1	5078603	5079470	-	868	20
GUL01G000323	GWHHCNU00000001.1	5079937	5080335	-	399	0
GUL01G000324	GWHHCNU00000001.1	5081053	5082746	+	1694	604
GUL01G000325	GWHHCNU00000001.1	5082981	5084438	-	1458	147
GUL01G000326	GWHHCNU00000001.1	5085304	5086194	+	891	393
GUL01G000327	GWHHCNU00000001.1	5086219	5086473	+	255	13
GUL01G000328	GWHHCNU00000001.1	5088209	5088992	+	784	0
GUL01G000329	GWHHCNU00000001.1	5089070	5089897	-	828	67
GUL01G000330	GWHHCNU00000001.1	5090360	5091414	+	1055	56
GUL01G000331	GWHHCNU00000001.1	5091803	5098210	-	6408	39
GUL01G000332	GWHHCNU00000001.1	5101959	5102756	+	798	475
GUL01G000333	GWHHCNU00000001.1	5104457	5106153	-	1697	73
GUL01G000334	GWHHCNU00000001.1	5107049	5108656	-	1608	1051
GUL01G000335	GWHHCNU00000001.1	5110045	5110810	-	766	2
GUL01G000336	GWHHCNU00000001.1	5111822	5112034	-	213	0
GUL01G000337	GWHHCNU00000001.1	5112611	5114478	-	1868	23
GUL01G000338	GWHHCNU00000001.1	5115512	5118068	+	2557	52
GUL01G000339	GWHHCNU00000001.1	5122057	5122953	+	897	17
GUL01G000340	GWHHCNU00000001.1	5123164	5123439	-	276	94
GUL01G000341	GWHHCNU00000001.1	5123715	5124822	+	1108	204
GUL01G000342	GWHHCNU00000001.1	5125467	5127245	-	1779	40
GUL01G000343	GWHHCNU00000001.1	5127555	5128554	-	1000	0
GUL01G000344	GWHHCNU00000001.1	5129061	5130107	-	1047	0
GUL01G000345	GWHHCNU00000001.1	5131097	5131723	-	627	9
GUL01G000346	GWHHCNU00000001.1	5131881	5133407	-	1527	0
GUL01G000347	GWHHCNU00000001.1	5134051	5134302	-	252	0
GUL01G000348	GWHHCNU00000001.1	5138536	5139282	+	747	0
GUL01G000349	GWHHCNU00000001.1	5139943	5140161	-	219	0
GUL01G000350	GWHHCNU00000001.1	5140218	5141954	+	1737	2
GUL01G000351	GWHHCNU00000001.1	5142494	5142739	+	246	0
GUL01G000352	GWHHCNU00000001.1	5144085	5144420	+	336	0
GUL01G000353	GWHHCNU00000001.1	5144972	5145509	-	538	0
GUL01G000354	GWHHCNU00000001.1	5145830	5147808	+	1979	0
GUL01G000355	GWHHCNU00000001.1	5148575	5148805	-	231	0
GUL01G000356	GWHHCNU00000001.1	5149745	5150224	+	480	0
GUL01G000357	GWHHCNU00000001.1	5150397	5151351	-	955	0
GUL01G000358	GWHHCNU00000001.1	5151569	5151826	-	258	0
GUL01G000359	GWHHCNU00000001.1	5153426	5154226	+	801	0
GUL01G000360	GWHHCNU00000001.1	5156415	5156678	+	264	0
GUL01G000361	GWHHCNU00000001.1	5158371	5158571	+	201	0
GUL01G000362	GWHHCNU00000001.1	5165657	5169265	+	3609	221
GUL01G000363	GWHHCNU00000001.1	5169514	5169774	-	261	0
GUL01G000364	GWHHCNU00000001.1	5172072	5175078	-	3007	95
GUL01G000365	GWHHCNU00000001.1	5175541	5175801	+	261	10
GUL01G000366	GWHHCNU00000001.1	5177717	5178429	+	713	0
GUL01G000367	GWHHCNU00000001.1	5179844	5182172	-	2329	1
GUL01G000368	GWHHCNU00000001.1	5184181	5185145	+	965	0
GUL01G000369	GWHHCNU00000001.1	5185736	5186293	+	558	260
GUL01G000370	GWHHCNU00000001.1	5189433	5189645	+	213	0
GUL01G000371	GWHHCNU00000001.1	5192008	5193403	-	1396	67
GUL01G000372	GWHHCNU00000001.1	5194303	5195074	+	772	25
GUL01G000373	GWHHCNU00000001.1	5195554	5196964	-	1411	37
GUL01G000374	GWHHCNU00000001.1	5198086	5198798	-	713	0
GUL01G000375	GWHHCNU00000001.1	5203319	5205400	-	2082	264
GUL01G000376	GWHHCNU00000001.1	5206905	5208429	-	1525	1907
GUL01G000377	GWHHCNU00000001.1	5208665	5209129	-	465	136
GUL01G000378	GWHHCNU00000001.1	5209544	5211072	+	1529	525
GUL01G000379	GWHHCNU00000001.1	5211388	5211723	-	336	101
GUL01G000380	GWHHCNU00000001.1	5213131	5213998	+	868	70
GUL01G000381	GWHHCNU00000001.1	5214314	5214637	-	324	39
GUL01G000382	GWHHCNU00000001.1	5216338	5217615	+	1278	24
GUL01G000383	GWHHCNU00000001.1	5218264	5219822	+	1559	18
GUL01G000384	GWHHCNU00000001.1	5224899	5225432	-	534	0
GUL01G000385	GWHHCNU00000001.1	5229634	5230837	-	1204	0
GUL01G000386	GWHHCNU00000001.1	5231036	5233178	-	2143	187
GUL01G000387	GWHHCNU00000001.1	5233352	5234035	+	684	16
GUL01G000388	GWHHCNU00000001.1	5234110	5235366	+	1257	44
GUL01G000389	GWHHCNU00000001.1	5236715	5237652	+	938	0
GUL01G000390	GWHHCNU00000001.1	5240664	5244898	+	4235	52
