"Geneid","at_id","SYMBOL","functional_group","log2FoldChange","pvalue","padj","GENENAME"
"GUL06G004084","AT5G47230","AtMACD1","Hormone: Ethylene",-3.08330531998012,8.01626019303449e-65,2.27185997595434e-63,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-5). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL03G004374","AT3G44880","ACD1","Hormone: Ethylene",-1.69327831207645,8.58967361460998e-59,2.1756074254218e-57,"Encodes a pheide a oxygenase (PAO). Accelerated cell death (acd1) mutants show rapid, spreading necrotic responses to both virulent and avirulent Pseudomonas syringae pv. maculicola or pv. tomato pathogens and to ethylene."
"GUL03G004374","AT3G44880","LLS1","Hormone: Ethylene",-1.69327831207645,8.58967361460998e-59,2.1756074254218e-57,"Encodes a pheide a oxygenase (PAO). Accelerated cell death (acd1) mutants show rapid, spreading necrotic responses to both virulent and avirulent Pseudomonas syringae pv. maculicola or pv. tomato pathogens and to ethylene."
"GUL03G004374","AT3G44880","PAO","Hormone: Ethylene",-1.69327831207645,8.58967361460998e-59,2.1756074254218e-57,"Encodes a pheide a oxygenase (PAO). Accelerated cell death (acd1) mutants show rapid, spreading necrotic responses to both virulent and avirulent Pseudomonas syringae pv. maculicola or pv. tomato pathogens and to ethylene."
"GUL05G003097","AT3G51770","ATEOL1","Hormone: Ethylene",2.2504543691327,3.73918192830262e-57,9.14051215800112e-56,"Encodes a negative regulator of 1-aminocyclopropane-1-carboxylic acid synthase5(ACS5), which catalyze the rate-limiting step in ethylene biosynthesis. ETO1 directly interacts with ACS5 and inhibits its enzyme activity and targets it for degradation via proteasome-dependent pathway. It also interacts with CUL3 (a component of ubiquitin ligase complexes). eto1 (and eto3) mutations elevate ethylene biosynthesis by affecting the posttranscriptional regulation of ACS"
"GUL05G003097","AT3G51770","ETO1","Hormone: Ethylene",2.2504543691327,3.73918192830262e-57,9.14051215800112e-56,"Encodes a negative regulator of 1-aminocyclopropane-1-carboxylic acid synthase5(ACS5), which catalyze the rate-limiting step in ethylene biosynthesis. ETO1 directly interacts with ACS5 and inhibits its enzyme activity and targets it for degradation via proteasome-dependent pathway. It also interacts with CUL3 (a component of ubiquitin ligase complexes). eto1 (and eto3) mutations elevate ethylene biosynthesis by affecting the posttranscriptional regulation of ACS"
"GUL01G003760","AT5G47230","ATERF-5","Hormone: Ethylene",-1.58368171036003,1.67407776435764e-48,3.5057073865725e-47,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-5). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL01G003760","AT5G47230","AtMACD1","Hormone: Ethylene",-1.58368171036003,1.67407776435764e-48,3.5057073865725e-47,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-5). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL02G003850","AT3G04720","AtPR4","Hormone: Ethylene",2.10090577382403,8.56399016886843e-48,1.77372160940538e-46,"Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection."
"GUL02G003850","AT3G04720","HEL","Hormone: Ethylene",2.10090577382403,8.56399016886843e-48,1.77372160940538e-46,"Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection."
"GUL02G003850","AT3G04720","PR-4","Hormone: Ethylene",2.10090577382403,8.56399016886843e-48,1.77372160940538e-46,"Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection."
"GUL02G003850","AT3G04720","PR4","Hormone: Ethylene",2.10090577382403,8.56399016886843e-48,1.77372160940538e-46,"Encodes a protein similar to the antifungal chitin-binding protein hevein from rubber tree latex. mRNA levels increase in response to ethylene and turnip crinkle virus infection."
"GUL02G004211","AT2G40940","ERS","Hormone: Ethylene",-1.76277358766472,1.26940976913709e-45,2.52677404411448e-44,"Ethylene receptor, subfamily 1. Has histidine kinase activity."
"GUL02G004211","AT2G40940","ERS1","Hormone: Ethylene",-1.76277358766472,1.26940976913709e-45,2.52677404411448e-44,"Ethylene receptor, subfamily 1. Has histidine kinase activity."
"GUL03G004788","AT5G64750","ABR1","Hormone: Ethylene",-6.23117844313276,1.71883569829207e-39,2.94590674184234e-38,"Encodes a putative transcription factor containing an AP2 domain. Is a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family.  Expressed in response to ABA, osmotic stress, sugar stress and drought. Mutants are hypersensitive to these stresses. May be involved in regulation of ABA mediated stress response."
"GUL06G003839","AT4G36920","FL1","Hormone: Ethylene",2.08525698571682,1.26121923228796e-29,1.62916334831808e-28,"Encodes a floral homeotic gene, a member of the AP2/EREBP (ethylene responsive element binding protein) class of transcription factors and is involved in the specification of floral organ identity, establishment of floral meristem identity, suppression of floral meristem indeterminancy, and development of the ovule and seed coat. AP2 also has a role in controlling seed mass. Dominant negative allele I28, revealed a function in meristem maintenance-mutant meristems are smaller than normal siblings. AP2 appears to act on the WUS-CLV pathway in an AG independent manner."
"GUL06G003839","AT4G36920","FLO2","Hormone: Ethylene",2.08525698571682,1.26121923228796e-29,1.62916334831808e-28,"Encodes a floral homeotic gene, a member of the AP2/EREBP (ethylene responsive element binding protein) class of transcription factors and is involved in the specification of floral organ identity, establishment of floral meristem identity, suppression of floral meristem indeterminancy, and development of the ovule and seed coat. AP2 also has a role in controlling seed mass. Dominant negative allele I28, revealed a function in meristem maintenance-mutant meristems are smaller than normal siblings. AP2 appears to act on the WUS-CLV pathway in an AG independent manner."
"GUL04G004918","AT2G40940","ERS","Hormone: Ethylene",-1.8650073111836,2.25523235274555e-28,2.79828956690768e-27,"Ethylene receptor, subfamily 1. Has histidine kinase activity."
"GUL04G004918","AT2G40940","ERS1","Hormone: Ethylene",-1.8650073111836,2.25523235274555e-28,2.79828956690768e-27,"Ethylene receptor, subfamily 1. Has histidine kinase activity."
"GUL08G002851","AT1G19220","ARF11","Hormone: Ethylene",1.40893308916617,3.34765561049549e-27,4.00007359534522e-26,"Encodes an auxin response factor that contains the conserved VP1-B3 DNA-binding domain at its N-terminus and the Aux/IAA-like domains III and IV present in most ARFs at its C-terminus. The protein interacts with IAA1 (yeast two hybrid) and other auxin response elements such as ER7 and ER9 (yeast one hybrid). ARF19 protein can complement many aspects of the arf7 mutant phenotype and , together with ARF7, is involved in the response to ethylene.  In the arf7 arf19 double mutant, several auxin-responsive genes (e.g. IAA5, LBD16, LBD29 and LBD33) are no longer upregulated by auxin."
"GUL08G002851","AT1G19220","ARF19","Hormone: Ethylene",1.40893308916617,3.34765561049549e-27,4.00007359534522e-26,"Encodes an auxin response factor that contains the conserved VP1-B3 DNA-binding domain at its N-terminus and the Aux/IAA-like domains III and IV present in most ARFs at its C-terminus. The protein interacts with IAA1 (yeast two hybrid) and other auxin response elements such as ER7 and ER9 (yeast one hybrid). ARF19 protein can complement many aspects of the arf7 mutant phenotype and , together with ARF7, is involved in the response to ethylene.  In the arf7 arf19 double mutant, several auxin-responsive genes (e.g. IAA5, LBD16, LBD29 and LBD33) are no longer upregulated by auxin."
"GUL08G002851","AT1G19220","IAA22","Hormone: Ethylene",1.40893308916617,3.34765561049549e-27,4.00007359534522e-26,"Encodes an auxin response factor that contains the conserved VP1-B3 DNA-binding domain at its N-terminus and the Aux/IAA-like domains III and IV present in most ARFs at its C-terminus. The protein interacts with IAA1 (yeast two hybrid) and other auxin response elements such as ER7 and ER9 (yeast one hybrid). ARF19 protein can complement many aspects of the arf7 mutant phenotype and , together with ARF7, is involved in the response to ethylene.  In the arf7 arf19 double mutant, several auxin-responsive genes (e.g. IAA5, LBD16, LBD29 and LBD33) are no longer upregulated by auxin."
"GUL02G002153","AT5G61590","DEWAX","Hormone: Ethylene",1.60856992271362,4.13664499719617e-24,4.46462964671001e-23,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL06G002181","AT1G25560","AtTEM1","Hormone: Ethylene",-1.12891890198961,4.96054756113738e-22,4.89532443880156e-21,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL06G002181","AT1G25560","EDF1","Hormone: Ethylene",-1.12891890198961,4.96054756113738e-22,4.89532443880156e-21,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL06G002181","AT1G25560","TEM1","Hormone: Ethylene",-1.12891890198961,4.96054756113738e-22,4.89532443880156e-21,"Encodes a member of the RAV transcription factor family that contains AP2 and B3 binding domains. Involved in the regulation of flowering under long days. Loss of function results in early flowering. Overexpression causes late flowering and  repression of expression of FT. Novel transcriptional regulator involved in ethylene signaling. Promoter bound by EIN3. EDF1 in turn, binds to promoter elements in ethylene responsive genes."
"GUL03G004707","AT1G78080","AtWIND1","Hormone: Ethylene",-1.42721965742433,6.74223969588975e-14,4.50394090517752e-13,"Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling."
"GUL03G004707","AT1G78080","WIND1","Hormone: Ethylene",-1.42721965742433,6.74223969588975e-14,4.50394090517752e-13,"Encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family (RAP2.4). The protein contains one AP2 domain. Role in mediating light and ethylene signaling."
"GUL02G005261","AT3G25890","CRF11","Hormone: Ethylene",1.87657545785813,9.8576289844779e-14,6.50714868655301e-13,"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11."
"GUL04G004780","AT3G54720","AMP1","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL04G004780","AT3G54720","AtAMP1","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL04G004780","AT3G54720","COP2","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL04G004780","AT3G54720","HPT","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL04G004780","AT3G54720","MFO1","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL04G004780","AT3G54720","PT","Hormone: Ethylene",1.93123699781925,1.58243844009368e-13,1.03018001684932e-12,"Encodes glutamate carboxypeptidase. Various alleles show-increased cotyledon number and rate of leaf initiation, show transformation of leaves to cotyledons, altered flowering time and photomorphogenesis and an increased level of cytokinin biosynthesis. Involved in ethylene enhanced hypocotyl elongation in the light. Strong genetic interaction between TGH and AMP1."
"GUL02G003805","AT3G04580","EIN4","Hormone: Ethylene",-1.31475874960502,1.9905307704552e-13,1.28935330428298e-12,"Ethylene receptor, subfamily 2. Has serine kinase activity."
"GUL02G000641","AT5G03730","AtCTR1","Hormone: Ethylene",-1.13927417995506,1.15642933983674e-12,7.19813474197642e-12,"Homologous to the RAF family of serine/threonine protein kinases. Negative regulator in the ethylene signal transduction pathway. Interacts with the putative ethylene receptors ETR1 and ERS. Constitutively expressed."
"GUL02G000641","AT5G03730","CTR1","Hormone: Ethylene",-1.13927417995506,1.15642933983674e-12,7.19813474197642e-12,"Homologous to the RAF family of serine/threonine protein kinases. Negative regulator in the ethylene signal transduction pathway. Interacts with the putative ethylene receptors ETR1 and ERS. Constitutively expressed."
"GUL02G000641","AT5G03730","SIS1","Hormone: Ethylene",-1.13927417995506,1.15642933983674e-12,7.19813474197642e-12,"Homologous to the RAF family of serine/threonine protein kinases. Negative regulator in the ethylene signal transduction pathway. Interacts with the putative ethylene receptors ETR1 and ERS. Constitutively expressed."
"GUL03G002329","AT3G19820","CBB1","Hormone: Ethylene",3.13709718899455,2.75470866394709e-12,1.66688399258514e-11,"Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein."
"GUL03G002329","AT3G19820","DIM","Hormone: Ethylene",3.13709718899455,2.75470866394709e-12,1.66688399258514e-11,"Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein."
"GUL03G002329","AT3G19820","DIM1","Hormone: Ethylene",3.13709718899455,2.75470866394709e-12,1.66688399258514e-11,"Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein."
"GUL03G002329","AT3G19820","DWF1","Hormone: Ethylene",3.13709718899455,2.75470866394709e-12,1.66688399258514e-11,"Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein."
"GUL03G002329","AT3G19820","EVE1","Hormone: Ethylene",3.13709718899455,2.75470866394709e-12,1.66688399258514e-11,"Involved in the conversion of the early brassinosteroid precursor  24-methylenecholesterol to campesterol. Brassinosteroids affect cellular elongation. Mutants have dwarf phenotype.  DWF1 is a Ca2+-dependent calmodulin-binding protein."
"GUL03G003162","AT5G44790","AtHMP51","Hormone: Ethylene",-1.3666465673993,5.5347216311487e-11,3.07340880325855e-10,"ATP dependent copper transporter vital for ethylene response pathway"
"GUL03G003162","AT5G44790","HMA7","Hormone: Ethylene",-1.3666465673993,5.5347216311487e-11,3.07340880325855e-10,"ATP dependent copper transporter vital for ethylene response pathway"
"GUL03G003162","AT5G44790","RAN1","Hormone: Ethylene",-1.3666465673993,5.5347216311487e-11,3.07340880325855e-10,"ATP dependent copper transporter vital for ethylene response pathway"
"GUL01G003759","AT4G17500","AtERF#100","Hormone: Ethylene",-2.28485073099998,9.52060412394183e-11,5.20758161386014e-10,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL01G003759","AT4G17500","ATERF-1","Hormone: Ethylene",-2.28485073099998,9.52060412394183e-11,5.20758161386014e-10,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL01G003759","AT4G17500","ERF-1","Hormone: Ethylene",-2.28485073099998,9.52060412394183e-11,5.20758161386014e-10,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL03G003707","AT4G34410","RRTF1","Hormone: Ethylene",-7.58280537178666,7.46410016107661e-10,3.81172305978575e-09,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL01G003999","AT4G24670","AtTAR2","Hormone: Ethylene",5.34885902431045,1.59673802198835e-09,7.94420054199474e-09,"Encodes a protein with similarity to the TAA1 trytophan aminotransferase involved in IAA biosynthesis. Double mutant analyses suggest that this protein is involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling."
"GUL01G003999","AT4G24670","TAR2","Hormone: Ethylene",5.34885902431045,1.59673802198835e-09,7.94420054199474e-09,"Encodes a protein with similarity to the TAA1 trytophan aminotransferase involved in IAA biosynthesis. Double mutant analyses suggest that this protein is involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling."
"GUL08G002377","AT1G73500","ATMKK9","Hormone: Ethylene",5.34740868224712,5.23807236633606e-09,2.50258925612198e-08,"member of MAP Kinase Kinase family. Autophosphorylates and also phosphorylates MPK3 and MPK6. Independently involved in ethylene and calmalexin biosynthesis. Induces transcription of ACS2, ACS6, ERF1, ERF2, ERF5, ERF6, CYP79B2, CYP79B3, CYP71A13 and PAD3."
"GUL08G002377","AT1G73500","MKK9","Hormone: Ethylene",5.34740868224712,5.23807236633606e-09,2.50258925612198e-08,"member of MAP Kinase Kinase family. Autophosphorylates and also phosphorylates MPK3 and MPK6. Independently involved in ethylene and calmalexin biosynthesis. Induces transcription of ACS2, ACS6, ERF1, ERF2, ERF5, ERF6, CYP79B2, CYP79B3, CYP71A13 and PAD3."
"GUL01G005093","AT3G16770","ATEBP","Hormone: Ethylene",1.51873545256339,1.9836338690469e-08,9.01227805405739e-08,"Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3."
"GUL01G005093","AT3G16770","EBP","Hormone: Ethylene",1.51873545256339,1.9836338690469e-08,9.01227805405739e-08,"Encodes a member of the ERF (ethylene response factor) subfamily B-2 of the plant specific ERF/AP2 transcription factor family (RAP2.3).  The protein contains one AP2 domain. There are 5 members in this subfamily including RAP2.2 AND RAP2.12.It is localized to the nucleus and acts as a transcriptional activator through the GCC-box. It has been identified as a suppressor of Bax-induced cell death by functional screening in yeast and can also suppress Bax-induced cell death in tobacco plants. Overexpression of this gene in tobacco BY-2 cells confers resistance to H2O2 and heat stresses. Overexpression in Arabidopsis causes upregulation of PDF1.2 and GST6.   It is part of the ethylene signaling pathway and is predicted to act downstream of EIN2 and CTR1, but not under EIN3."
"GUL04G004245","AT4G02680","EOL1","Hormone: Ethylene",1.48186318303099,3.06361976711763e-08,1.36436980483339e-07,"Encodes a paralog of ETO1, which is a negative regulator of ACS5 (a key enzyme in ethylene biosynthesis pathway). EOL1 also interacts with and inhibits the activity of ACS5."
"GUL03G001851","AT1G66340","AtETR1","Hormone: Ethylene",-1.18592674300104,5.17132624315613e-08,2.25675426717249e-07,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1."
"GUL03G001851","AT1G66340","EIN1","Hormone: Ethylene",-1.18592674300104,5.17132624315613e-08,2.25675426717249e-07,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1."
"GUL03G001851","AT1G66340","ETR","Hormone: Ethylene",-1.18592674300104,5.17132624315613e-08,2.25675426717249e-07,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1."
"GUL03G001851","AT1G66340","ETR1","Hormone: Ethylene",-1.18592674300104,5.17132624315613e-08,2.25675426717249e-07,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1."
"GUL03G001851","AT1G66340","RDO3","Hormone: Ethylene",-1.18592674300104,5.17132624315613e-08,2.25675426717249e-07,"Similar to prokaryote sensory transduction proteins. Contains a histidine kinase and a response regulator domain. Homodimer. Membrane component. Binds ethylene. Mutations affect ethylene binding and metabolism of other plant hormones such as auxin, cytokinins, ABA and gibberellic acid. Ethylene receptor. Has histidine kinase activity. Is regulated by RTE1."
"GUL02G004338","AT5G07580","DEWAX2","Hormone: Ethylene",-2.66621870420756,2.18578105674472e-07,8.98887809579183e-07,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL07G004275","AT4G17500","AtERF#100","Hormone: Ethylene",-1.30399393315235,3.60928445517234e-07,1.45384323622673e-06,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
"GUL07G004275","AT4G17500","ATERF-1","Hormone: Ethylene",-1.30399393315235,3.60928445517234e-07,1.45384323622673e-06,"Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-1). The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
